
Code	enseig.	Activité	Jour	Heure	début	Heure	fin	Semaine	Locaux	Type	créneau	Lib.	créneau						
AI12	TD	Mercredi	04:30:00 PM	07:30:00 PM	BF	A	505,	BF	A	504	Groupe	actif	D						
AI13	Cours	Lundi	04:30:00 PM	06:30:00 PM	BF	B	100	Groupe	actif	C									
AI13	Cours	Vendredi	04:30:00 PM	06:30:00 PM	BF	B	100	Groupe	actif	C									
AI14	Cours	Jeudi	08:00:00 AM	10:00:00 AM	BF	A	206	Groupe	actif	C									
AI14	TD	Jeudi	10:15:00 AM	01:15:00 PM	BF	A	304	Groupe	actif	D									
AI15	Cours	Lundi	02:15:00 PM	04:15:00 PM	BF	A	205	Groupe	actif	C									
AI15	TD	Mardi	02:15:00 PM	04:15:00 PM	BF	A	506	Groupe	actif	D									
AI22	Cours	Vendredi	08:00:00 AM	10:00:00 AM	BF	A	205	Groupe	actif	C									
AI22	TD	Mardi	08:00:00 AM	12:00:00 PM	PG	O	226	Groupe	actif	D									
AI23	Cours	Jeudi	08:00:00 AM	10:00:00 AM	BF	A	205	Groupe	actif	C									
AI23	TD	Jeudi	01:15:00 PM	04:15:00 PM	BF	B	100	Groupe	actif	D									
AI24	Cours	Mardi	04:30:00 PM	06:30:00 PM	PG	J	207A	Groupe	actif	C									
AI24	Cours	Mercredi	04:30:00 PM	06:30:00 PM	PG	J	207A	Groupe	actif	C									
AI29	Cours	Vendredi	10:15:00 AM	12:15:00 PM	BF	A	108	Groupe	actif	C									
AI29	TD	Jeudi	04:30:00 PM	06:30:00 PM	BF	A	403	Groupe	actif	D									
AI29	TP	Mercredi	08:00:00 AM	10:00:00 AM	semaine	A	BF	A	505	Groupe	actif	T							
AI29	TP	Mercredi	08:00:00 AM	10:00:00 AM	semaine	B	BF	A	505	Groupe	actif	T							
AI30	Cours	Mardi	04:30:00 PM	06:30:00 PM	BF	A	100	Groupe	actif	C									
AI30	TD	Lundi	04:30:00 PM	07:30:00 PM	BF	A	306	Groupe	actif	D									
AI32	Cours	Jeudi	10:15:00 AM	12:15:00 PM	BF	A	205	Groupe	actif	C									
AI32	TD	Mardi	04:30:00 PM	06:30:00 PM	BF	B	217	Groupe	actif	D									
AI32	TP	Mercredi	02:30:00 PM	06:30:00 PM	semaine	B	PG	J	216	Groupe	actif	T							



AI32	TP	Mercredi	02:30:00 PM	06:30:00 PM	semaine	A	PG	J	216	Groupe	actif	T							
AI34	Cours	Mardi	10:15:00 AM	12:15:00 PM	BF	A	206	Groupe	actif	C									
AI34	TD	Mardi	02:15:00 PM	04:15:00 PM	BF	B	216	Groupe	actif	D									
AI34	TP	Vendredi	02:15:00 PM	04:15:00 PM	BF	A	505	Groupe	actif	T									
AI35	Cours	Vendredi	04:30:00 PM	06:00:00 PM	PG	J	216,	SI	PEP	255	Groupe	actif	C						
AI35	TD	Vendredi	08:00:00 AM	12:00:00 PM	PG	J	216,	SI	PEP	255	Groupe	actif	D						
AI36	Cours	Mercredi	02:15:00 PM	04:15:00 PM	BF	A	206	Groupe	actif	C									
AI36	TD	Jeudi	02:30:00 PM	06:30:00 PM	BF	A	307	Groupe	actif	D									
AI37	Cours	Vendredi	10:15:00 AM	12:15:00 PM	BF	A	212	Groupe	actif	C									
AI37	TD	Vendredi	01:15:00 PM	04:15:00 PM	PG	J	210A	Groupe	actif	D									
AI38	Cours	Jeudi	10:15:00 AM	12:15:00 PM	BF	A	206	Groupe	actif	C									
AI38	TD	Jeudi	02:15:00 PM	04:15:00 PM	PG	O	112	Groupe	actif	D									
AM01	Cours	Vendredi	04:30:00 PM	06:00:00 PM	BF	A	205	Groupe	actif	C									
AM01	TD	Lundi	08:00:00 AM	12:00:00 PM	CR	P	103	Groupe	actif	D	1								
AM01	TD	Mercredi	08:00:00 AM	12:00:00 PM	CR	P	103	Groupe	actif	D	2								
AM02	Cours	Jeudi	08:00:00 AM	12:00:00 PM	PG	O	112	Groupe	actif	C									
AM02	Cours	Lundi	04:30:00 PM	07:30:00 PM	PG	O	112	Groupe	actif	C									
AM03	Cours	Mardi	04:30:00 PM	06:00:00 PM	BF	A	108	Groupe	actif	C									
AM03	TD	Jeudi	10:15:00 AM	01:15:00 PM	BF	B	108,	BF	A	616	Groupe	actif	D	1					
AM03	TD	Jeudi	04:30:00 PM	07:30:00 PM	BF	A	515,	BF	A	516	Groupe	actif	D	2					
AM04	Cours	Mardi	02:15:00 PM	04:15:00 PM	BF	A	108	Groupe	actif	C									
AM04	TD	Jeudi	08:00:00 AM	10:00:00 AM	BF	A	304	Groupe	actif	D	1								
AM04	TD	Vendredi	08:00:00 AM	10:00:00 AM	BF	A	304	Groupe	actif	D	2								
AM04	TP	Mardi	08:00:00 AM	12:00:00 PM	CR	F	333	Groupe	actif	T	1								
AM04	TP	Jeudi	02:30:00 PM	06:30:00 PM	CR	F	333	Groupe	actif	T	2								
AM08	Cours	Lundi	08:00:00 AM	10:00:00 AM	BF	A	206,	PG	J	115	Groupe	actif	C						
AM08	TD	Mardi	10:15:00 AM	01:15:00 PM	BF	A	403,	PG	O	113	Groupe	actif	D						
AM11	Cours	Vendredi	08:00:00 AM	10:00:00 AM	BF	A	108	Groupe	actif	C									
AM11	TD	Mardi	10:15:00 AM	12:15:00 PM	BF	A	404	Groupe	actif	D	1								
AM11	TD	Jeudi	10:15:00 AM	12:15:00 PM	BF	A	404	Groupe	actif	D	2								
AM11	TP	Lundi	02:15:00 PM	04:15:00 PM	BF	A	515	Groupe	actif	T	1								
AM11	TP	Lundi	04:30:00 PM	06:30:00 PM	BF	A	515	Groupe	actif	T	2								
AM11	TP	Jeudi	08:00:00 AM	10:00:00 AM	BF	A	510	Groupe	actif	T	3								
AM14	Cours	Lundi	04:30:00 PM	06:30:00 PM	BF	A	206	Groupe	actif	C									
AM14	Cours	Mercredi	02:15:00 PM	06:15:00 PM	BF	A	310	Groupe	actif	C									
AM14	TD	Mardi	08:00:00 AM	10:00:00 AM	BF	B	217	Groupe	actif	D	1								
AM14	TD	Mardi	02:15:00 PM	04:15:00 PM	BF	A	505	Groupe	de	réserve	D	2							
AM15	Cours	Mercredi	08:00:00 AM	10:00:00 AM	BF	A	100	Groupe	actif	C									
AM15	TD	Mercredi	10:15:00 AM	01:15:00 PM	BF	A	404	Groupe	actif	D									
AM15	TP	Jeudi	02:30:00 PM	06:30:00 PM	semaine	A	CR	P	101,	CR	P	102	Groupe	actif	T				



AM15	TP	Jeudi	02:30:00 PM	06:30:00 PM	semaine	B	CR	P	101,	CR	P	102	Groupe	actif	T				
AM20	Cours	Lundi	02:15:00 PM	04:15:00 PM	BF	A	206	Groupe	actif	C									
AM20	TD	Vendredi	08:00:00 AM	10:00:00 AM	BF	A	509	Groupe	actif	D									
AM21	Cours	Lundi	04:30:00 PM	06:30:00 PM	BF	A	200	Groupe	actif	C									
AM21	TD	Mardi	08:00:00 AM	10:00:00 AM	BF	A	420,	BF	A	509	Groupe	actif	D						
AM22	Cours	Jeudi	10:15:00 AM	12:15:00 PM	BF	A	318A	Groupe	actif	C									
AM22	TD	Vendredi	04:30:00 PM	07:30:00 PM	BF	B	215	Groupe	actif	D									
AM23	Cours	Jeudi	02:30:00 PM	06:30:00 PM	CR	P	101,	CR	P	103	Groupe	actif	C						
AM23	Cours	Vendredi	08:00:00 AM	10:00:00 AM	CR	P	101,	CR	P	103	Groupe	actif	C						
AM25	Cours	Mercredi	02:15:00 PM	04:15:00 PM	BF	A	200	Groupe	actif	C									
AM25	TD	Mardi	10:15:00 AM	12:15:00 PM	BF	B	108,	BF	A	405	Groupe	actif	D						
AM27	Cours	Jeudi	08:00:00 AM	12:00:00 PM	PG	J	219,	PG	O	228	Groupe	actif	C						
AM27	TP	Mercredi	08:00:00 AM	10:00:00 AM	PG	O	112	Groupe	actif	T									
AM29	Cours	Mardi	08:30:00 AM	10:00:00 AM	BF	A	204	Groupe	actif	C									
AM29	TD	Vendredi	02:30:00 PM	06:30:00 PM	CR	P	103	Groupe	actif	D									
AM41	TD	Jeudi	08:00:00 AM	09:00:00 AM	PG	J	102	Groupe	actif	D									
AM41	TP	Jeudi	09:00:00 AM	12:00:00 PM	PG	J	102	Groupe	actif	T									
AM42	Cours	Lundi	02:15:00 PM	04:15:00 PM	PG	O	229	Groupe	actif	C									
AM42	TD	Lundi	04:30:00 PM	06:30:00 PM	PG	O	223	Groupe	actif	D									
AM43	Cours	Mardi	08:00:00 AM	10:00:00 AM	BF	A	206	Groupe	actif	C									
AM43	TD	Vendredi	01:00:00 PM	04:00:00 PM	BF	A	512,	BF	A	418	Groupe	actif	D						
AM51	Cours	Lundi	02:15:00 PM	04:15:00 PM	BF	A	200	Groupe	actif	C									
AM51	TD	Lundi	04:30:00 PM	06:30:00 PM	BF	A	403	Groupe	actif	D									
AM51	TP	Jeudi	02:30:00 PM	06:30:00 PM	CR	H	148,	CR	H	125	Groupe	actif	T						
AP00	Atelier	Jeudi	08:30:00 AM	12:30:00 PM	PG	O	113,	PG	O	122	Groupe	actif	D	1					
AP00	Atelier	Jeudi	01:30:00 PM	06:00:00 PM	PG	O	113,	PG	O	122	Groupe	actif	D	1					
AP00	Atelier	Jeudi	08:30:00 AM	12:30:00 PM	PG	O	223,	PG	O	229	Groupe	actif	D	2					
AP00	Atelier	Jeudi	01:30:00 PM	06:00:00 PM	PG	O	223,	PG	O	229	Groupe	actif	D	2					
AP00	Atelier	Jeudi	08:30:00 AM	12:30:00 PM	PG	O	117	Groupe	de	réserve	D	3							
AP00	Atelier	Jeudi	01:30:00 PM	06:00:00 PM	PG	O	117	Groupe	de	réserve	D	3							
AP51	Atelier	Jeudi	02:30:00 PM	06:30:00 PM	PG	O	128,	PG	O	228	Groupe	actif	D						
AP51	Atelier	Lundi	08:00:00 AM	12:00:00 PM	PG	O	128,	PG	O	228	Groupe	actif	D						
AP52	Atelier	Lundi	02:30:00 PM	06:30:00 PM	PG	O	228	Groupe	actif	D									
AP52	Atelier	Mercredi	08:00:00 AM	12:00:00 PM	PG	O	228	Groupe	actif	D									
AP53	Atelier	Mardi	09:00:00 AM	01:00:00 PM	CR	P	103	Groupe	actif	D									
AP53	Atelier	Mardi	02:30:00 PM	06:30:00 PM	CR	P	103	Groupe	actif	D									
AR03	Cours	Mardi	09:00:00 AM	10:00:00 AM	BF	A	202	Groupe	actif	C									
AR03	TD	Mardi	10:15:00 AM	12:15:00 PM	BF	A	202	Groupe	actif	D									
AR04	Cours	Jeudi	10:15:00 AM	12:15:00 PM	BF	A	108	Groupe	actif	C									
AR04	TD	Jeudi	02:15:00 PM	04:15:00 PM	BF	B	210	Groupe	actif	D	1								



AR04	TD	Jeudi	04:30:00 PM	06:30:00 PM	BF	B	210	Groupe	actif	D	2								
AV01	Cours	Vendredi	12:45:00 PM	01:45:00 PM	BF	A	200	Groupe	actif	C									
AV01	TD	Vendredi	08:00:00 AM	10:00:00 AM	BF	B	114	Groupe	actif	D	1								
AV01	TD	Vendredi	10:15:00 AM	12:15:00 PM	BF	B	114	Groupe	actif	D	2								
BA03	Cours	Mercredi	10:15:00 AM	12:15:00 PM	BF	A	108	Groupe	actif	C									
BA03	TD	Lundi	10:15:00 AM	12:15:00 PM	PG	O	117,	PG	O	230	Groupe	actif	D	1					
BA03	TD	Mercredi	08:00:00 AM	10:00:00 AM	PG	O	117,	PG	O	230	Groupe	actif	D	2					
BA04	Cours	Lundi	08:00:00 AM	10:00:00 AM	BF	A	108	Groupe	actif	C									
BA04	TD	Lundi	10:15:00 AM	12:15:00 PM	PG	O	113	Groupe	actif	D	1								
BA04	TD	Lundi	02:15:00 PM	04:15:00 PM	PG	O	113	Groupe	actif	D	2								
BA04	TD	Lundi	04:30:00 PM	06:30:00 PM	PG	O	113	Groupe	actif	D	3								
BA05	Cours	Mercredi	02:15:00 PM	04:15:00 PM	PG	O	230	Groupe	actif	C									
BA05	TD	Mercredi	04:30:00 PM	06:30:00 PM	PG	O	223	Groupe	actif	D									
BA06	Cours	Vendredi	08:00:00 AM	10:00:00 AM	PG	O	223	Groupe	actif	C									
BA06	TD	Vendredi	10:15:00 AM	12:15:00 PM	PG	O	223,	PG	O	230	Groupe	actif	D						
BA08	Cours	Lundi	08:00:00 AM	10:00:00 AM	PG	O	230	Groupe	actif	C									
BA08	TD	Lundi	10:15:00 AM	12:15:00 PM	PG	O	223	Groupe	actif	D									
BA10	Cours	Mercredi	08:00:00 AM	10:00:00 AM	PG	O	229	Groupe	actif	C									
BA10	TD	Mercredi	10:15:00 AM	12:15:00 PM	PG	O	223	Groupe	actif	D									
BI02	Cours	Mardi	04:30:00 PM	06:30:00 PM	BF	A	202	Groupe	actif	C									
BI02	TD	Lundi	02:15:00 PM	04:15:00 PM	BF	A	505	Groupe	actif	D									
BL10	Cours	Lundi	02:15:00 PM	04:15:00 PM	BF	A	100	Groupe	actif	C									
BL10	TD	Lundi	04:30:00 PM	06:30:00 PM	BF	A	309	Groupe	actif	D	1								
BL10	TD	Mardi	10:15:00 AM	12:15:00 PM	BF	A	417	Groupe	actif	D	2								
BL10	TD	Mercredi	10:15:00 AM	12:15:00 PM	BF	A	417	Groupe	actif	D	3								
BL10	TP	Mercredi	02:30:00 PM	06:30:00 PM	semaine	B	PG	J	202	Groupe	actif	T	1						
BL10	TP	Mercredi	02:30:00 PM	06:30:00 PM	semaine	A	PG	J	202	Groupe	actif	T	1						
BL10	TP	Jeudi	08:00:00 AM	12:00:00 PM	semaine	A	PG	J	202	Groupe	actif	T	2						
BL10	TP	Jeudi	08:00:00 AM	12:00:00 PM	semaine	B	PG	J	202	Groupe	actif	T	2						
BL10	TP	Vendredi	02:30:00 PM	06:30:00 PM	PG	J	202	Groupe	actif	T	3								
BL16	Cours	Lundi	04:30:00 PM	06:30:00 PM	BF	A	202	Groupe	actif	C									
BL16	TD	Mercredi	02:15:00 PM	04:15:00 PM	BF	B	216,	BF	A	419	Groupe	actif	D						
BL17	Cours	Mercredi	04:30:00 PM	06:30:00 PM	BF	A	200	Groupe	actif	C									
BL17	TD	Mercredi	10:15:00 AM	12:15:00 PM	BF	A	418,	BF	B	217	Groupe	actif	D						
BL17	TP	Jeudi	02:15:00 PM	06:15:00 PM	BF	B	113	Groupe	actif	T									
BL20	Cours	Lundi	10:15:00 AM	12:15:00 PM	BF	A	106	Groupe	actif	C									
BL20	TD	Mardi	02:15:00 PM	04:15:00 PM	BF	A	304	Groupe	actif	D	1								
BL20	TD	Mardi	04:30:00 PM	06:30:00 PM	BF	A	419	Groupe	actif	D	2								
BL20	TD	Mercredi	08:00:00 AM	10:00:00 AM	BF	A	419	Groupe	actif	D	3								
BL20	TD	Vendredi	02:15:00 PM	04:15:00 PM	BF	A	419	Groupe	de	réserve	D	4							



BL20	TP	Lundi	02:30:00 PM	06:30:00 PM	semaine	A	PG	J	202	Groupe	actif	T	1						
BL20	TP	Lundi	02:30:00 PM	06:30:00 PM	semaine	B	PG	J	202	Groupe	actif	T	1						
BL20	TP	Mardi	08:00:00 AM	12:00:00 PM	semaine	A	PG	J	202	Groupe	actif	T	2						
BL20	TP	Mardi	08:00:00 AM	12:00:00 PM	semaine	B	PG	J	202	Groupe	actif	T	2						
BL20	TP	Jeudi	02:30:00 PM	06:30:00 PM	semaine	A	PG	J	202	Groupe	actif	T	3						
BL20	TP	Jeudi	02:30:00 PM	06:30:00 PM	semaine	B	PG	J	202	Groupe	actif	T	3						
